Question,Answer,Role,Topic,Difficulty,Seniority,Stage,Source,Question_Type,Competency_Area,Adaptive_Level,Is_Final_Question,Embedding_Text
Bagaimana Anda tetap mengikuti perkembangan tren industri?,"Saya selalu bersemangat untuk belajar dan menerima perubahan sebagai cara untuk menjadi lebih baik. Misalnya, saya pernah harus beralih ke tumpukan teknologi baru dan mengambilnya dengan cepat. Bagaimana Anda tetap mengikuti perkembangan tren industri?",Data Scientist,Adaptability,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Data Scientist. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you stay updated with industry trends?. Ideal Answer: I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. How do you stay updated with industry trends?"
Perubahan apa yang paling signifikan yang harus Anda adaptasi di tempat kerja?,"Saya selalu bersemangat untuk belajar dan menerima perubahan sebagai cara untuk menjadi lebih baik. Misalnya, saya pernah harus beralih ke tumpukan teknologi baru dan mengambilnya dengan cepat. Perubahan apa yang paling signifikan yang harus Anda adaptasi di tempat kerja?",Data Scientist,Adaptability,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Data Scientist. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: What's the most significant change you've had to adapt to at work?. Ideal Answer: I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. What's the most significant change you've had to adapt to at work?"
Apa yang akan Anda lakukan jika Anda tidak setuju dengan manajer Anda?,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Apa yang akan Anda lakukan jika Anda tidak setuju dengan manajer Anda?",Data Scientist,Conflict Resolution,Hard,Intermediate,Case Study,HR_Dataset,Behavioral,General Engineering,3,False,"Role: Data Scientist. Stage: Case Study. Level: 3. Type: Behavioral. Competency: General Engineering. Question: What would you do if you disagreed with your manager?. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. What would you do if you disagreed with your manager?"
Bagaimana Anda berkontribusi pada lingkungan tim yang positif?,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Bagaimana Anda berkontribusi pada lingkungan tim yang positif?,Data Scientist,Culture Fit,Hard,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,3,False,"Role: Data Scientist. Stage: Opening. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: How do you contribute to a positive team environment?. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. How do you contribute to a positive team environment?"
Ceritakan pada saya saat Anda bekerja dengan baik dalam tim.,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Ceritakan pada saya saat Anda bekerja dengan baik dalam tim.",Data Scientist,Team Collaboration,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Data Scientist. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: Tell me about a time you worked well within a team.. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. Tell me about a time you worked well within a team."
Jelaskan saat Anda menangani situasi sulit secara profesional.,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Jelaskan saat Anda menangani situasi sulit secara profesional.",Data Scientist,Conflict Resolution,Medium,Intermediate,Case Study,HR_Dataset,Behavioral,General Engineering,2,False,"Role: Data Scientist. Stage: Case Study. Level: 2. Type: Behavioral. Competency: General Engineering. Question: Describe a time you handled a difficult situation professionally.. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. Describe a time you handled a difficult situation professionally."
Peluang pertumbuhan seperti apa yang Anda cari?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Peluang pertumbuhan seperti apa yang Anda cari?,Data Scientist,Career Goals,Easy,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: Data Scientist. Stage: Case Study. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: What kind of growth opportunities are you looking for?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What kind of growth opportunities are you looking for?
Bagaimana peran ini sesuai dengan jalur karier Anda?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Bagaimana peran ini sesuai dengan jalur karier Anda?,Data Scientist,Career Goals,Easy,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: Data Scientist. Stage: Case Study. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: How does this role fit into your career path?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. How does this role fit into your career path?
Bagaimana Anda tetap termotivasi selama tugas yang berulang?,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Bagaimana Anda tetap termotivasi selama tugas yang berulang?,Data Scientist,Motivation,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Data Scientist. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you stay motivated during repetitive tasks?. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. How do you stay motivated during repetitive tasks?
Di mana Anda melihat diri Anda dalam 5 tahun?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Di mana Anda melihat diri Anda dalam 5 tahun?,Data Scientist,Career Goals,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: Data Scientist. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: Where do you see yourself in 5 years?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. Where do you see yourself in 5 years?
Bagaimana Anda mendelegasikan tugas secara efektif?,"Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin tim melalui X dan kami mencapai Y. Bagaimana Anda mendelegasikan tugas secara efektif?",Data Scientist,Leadership,Hard,Intermediate,Opening,HR_Dataset,Leadership,General Engineering,3,False,"Role: Data Scientist. Stage: Opening. Level: 3. Type: Leadership. Competency: General Engineering. Question: How do you delegate tasks effectively?. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you delegate tasks effectively?"
Jelaskan saat Anda memimpin sebuah proyek atau tim.,"Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin sebuah tim melalui X dan kami mencapai Y. Jelaskan saat Anda memimpin sebuah proyek atau tim.",Data Scientist,Leadership,Hard,Intermediate,Opening,HR_Dataset,Leadership,General Engineering,3,False,"Role: Data Scientist. Stage: Opening. Level: 3. Type: Leadership. Competency: General Engineering. Question: Describe a time you led a project or team.. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. Describe a time you led a project or team."
Jelaskan saat Anda merasa tidak pada tempatnya dalam budaya tempat kerja.,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Jelaskan saat Anda merasa tidak pada tempatnya dalam budaya tempat kerja.,Data Scientist,Culture Fit,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,"Role: Data Scientist. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: Describe a time you felt out of place in a workplace culture.. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. Describe a time you felt out of place in a workplace culture."
Bagaimana tanggapan Anda ketika rekan satu tim tidak berusaha keras?,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Bagaimana tanggapan Anda ketika rekan satu tim tidak berusaha keras?",Data Scientist,Conflict Resolution,Hard,Intermediate,Opening,HR_Dataset,Behavioral,General Engineering,3,True,"Role: Data Scientist. Stage: Opening. Level: 3. Type: Behavioral. Competency: General Engineering. Question: How do you respond when a teammate isn't pulling their weight?. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you respond when a teammate isn't pulling their weight?"
Ceritakan tentang konflik yang Anda alami dengan rekan kerja dan cara Anda menyelesaikannya.,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Ceritakan tentang konflik yang Anda alami dengan rekan kerja dan cara Anda menyelesaikannya.",Data Scientist,Conflict Resolution,Medium,Intermediate,Case Study,HR_Dataset,Problem Solving,General Engineering,2,False,"Role: Data Scientist. Stage: Case Study. Level: 2. Type: Problem Solving. Competency: General Engineering. Question: Tell me about a conflict you had with a coworker and how you resolved it.. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. Tell me about a conflict you had with a coworker and how you resolved it."
Apa aspirasi karir jangka panjang Anda?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Apa aspirasi karir jangka panjang Anda?,Data Scientist,Career Goals,Hard,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,3,False,Role: Data Scientist. Stage: Opening. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: What are your long-term career aspirations?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What are your long-term career aspirations?
Bagaimana Anda memastikan produktivitas saat bekerja jarak jauh?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Bagaimana Anda memastikan produktivitas saat bekerja jarak jauh?,Data Scientist,Work Style,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Data Scientist. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you ensure productivity when working remotely?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. How do you ensure productivity when working remotely?
Bagaimana Anda memotivasi orang lain dalam peran kepemimpinan?,"Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin tim melalui X dan kami mencapai Y. Bagaimana Anda memotivasi orang lain dalam peran kepemimpinan?",Data Scientist,Leadership,Easy,Intermediate,Opening,HR_Dataset,Leadership,General Engineering,1,False,"Role: Data Scientist. Stage: Opening. Level: 1. Type: Leadership. Competency: General Engineering. Question: How do you motivate others in a leadership role?. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. How do you motivate others in a leadership role?"
Bagaimana Anda menghadapi masukan yang tidak Anda setujui?,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Bagaimana Anda menghadapi masukan yang tidak Anda setujui?",Data Scientist,Conflict Resolution,Hard,Intermediate,Case Study,HR_Dataset,Behavioral,General Engineering,3,False,"Role: Data Scientist. Stage: Case Study. Level: 3. Type: Behavioral. Competency: General Engineering. Question: How do you deal with feedback that you disagree with?. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you deal with feedback that you disagree with?"
Jelaskan sebuah proyek di mana kerja tim sangat penting untuk kesuksesan.,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Jelaskan sebuah proyek di mana kerja tim sangat penting untuk kesuksesan.",Data Scientist,Team Collaboration,Easy,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,1,False,"Role: Data Scientist. Stage: Case Study. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: Describe a project where teamwork was essential to success.. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. Describe a project where teamwork was essential to success."
Ceritakan pada saya saat Anda harus mempelajari sesuatu yang benar-benar baru dengan cepat.,"Saya selalu bersemangat untuk belajar dan menerima perubahan sebagai cara untuk menjadi lebih baik. Misalnya, saya pernah harus beralih ke tumpukan teknologi baru dan mengambilnya dengan cepat. Ceritakan pada saya saat Anda harus mempelajari sesuatu yang benar-benar baru dengan cepat.",Data Scientist,Adaptability,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Data Scientist. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: Tell me about a time you had to learn something completely new quickly.. Ideal Answer: I'm always eager to learn and embrace change as a way to improve. For example, I once had to switch to a new tech stack and picked it up quickly. Tell me about a time you had to learn something completely new quickly."
Bagaimana Anda menangani perselisihan dalam tim?,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Bagaimana Anda menangani perselisihan dalam tim?",Data Scientist,Team Collaboration,Medium,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Data Scientist. Stage: Opening. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you handle disagreements within a team?. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. How do you handle disagreements within a team?"
Keterampilan apa yang ingin Anda kembangkan dalam peran Anda selanjutnya?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Keterampilan apa yang ingin Anda kembangkan dalam peran Anda selanjutnya?,Data Scientist,Career Goals,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Data Scientist. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: What skills do you hope to develop in your next role?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What skills do you hope to develop in your next role?
Bagaimana Anda membangun kepercayaan dengan rekan satu tim baru?,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Bagaimana Anda membangun kepercayaan dengan rekan satu tim baru?",Data Scientist,Team Collaboration,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,"Role: Data Scientist. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: How do you build trust with new teammates?. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. How do you build trust with new teammates?"
Jenis budaya perusahaan apa yang Anda kembangkan?,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Jenis budaya perusahaan apa yang Anda kembangkan?,Data Scientist,Culture Fit,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,"Role: Data Scientist. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: What type of company culture do you thrive in?. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. What type of company culture do you thrive in?"
Apa yang mendorong minat Anda terhadap bidang ini?,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Apa yang mendorong minat Anda terhadap bidang ini?,Data Scientist,Motivation,Medium,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,2,False,Role: Data Scientist. Stage: Case Study. Level: 2. Type: Technical Knowledge. Competency: General Engineering. Question: What drives your passion for this field?. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. What drives your passion for this field?
Apa yang memotivasi Anda untuk datang bekerja setiap hari?,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Apa yang memotivasi Anda untuk datang bekerja setiap hari?,Data Scientist,Motivation,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: Data Scientist. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: What motivates you to come to work every day?. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. What motivates you to come to work every day?
Apakah Anda lebih suka bekerja mandiri atau dalam tim? Mengapa?,Saya mengikuti alur kerja terstruktur dan menggunakan alat seperti Jira/Trello/Notion untuk mengelola tugas saya secara efisien. Apakah Anda lebih suka bekerja mandiri atau dalam tim? Mengapa?,Data Scientist,Work Style,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,Role: Data Scientist. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: Do you prefer working independently or in teams? Why?. Ideal Answer: I follow a structured workflow and use tools like Jira/Trello/Notion to manage my tasks efficiently. Do you prefer working independently or in teams? Why?
"Menurut Anda, apa yang dimaksud dengan pemimpin yang baik?","Saya memimpin dengan memberi contoh dan mendorong komunikasi terbuka dan akuntabilitas. Suatu kali, saya memimpin tim melalui X dan kami mencapai Y. Menurut Anda, apa yang dimaksud dengan pemimpin yang baik?",Data Scientist,Leadership,Easy,Intermediate,Case Study,HR_Dataset,Leadership,General Engineering,1,False,"Role: Data Scientist. Stage: Case Study. Level: 1. Type: Leadership. Competency: General Engineering. Question: What makes a good leader in your opinion?. Ideal Answer: I lead by example and encourage open communication and accountability. One time, I led a team through X and we achieved Y. What makes a good leader in your opinion?"
Peran apa yang biasanya Anda mainkan dalam pengaturan grup?,"Saya percaya komunikasi dan saling menghormati adalah kunci keberhasilan kolaborasi. Dalam satu proyek, kami mencapai X karena kerja tim yang hebat. Peran apa yang biasanya Anda mainkan dalam pengaturan grup?",Data Scientist,Team Collaboration,Hard,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,3,False,"Role: Data Scientist. Stage: Case Study. Level: 3. Type: Technical Knowledge. Competency: General Engineering. Question: What role do you usually play in group settings?. Ideal Answer: I believe communication and mutual respect are key to successful collaboration. In one project, we achieved X because of great teamwork. What role do you usually play in group settings?"
Apa harapan Anda dari kepemimpinan di sebuah perusahaan?,Saya berkembang dalam lingkungan yang kolaboratif dan transparan yang menghargai inovasi dan rasa hormat. Apa harapan Anda dari kepemimpinan di sebuah perusahaan?,DevOps Engineer,Culture Fit,Medium,Intermediate,Opening,HR_Dataset,Leadership,General Engineering,2,False,"Role: DevOps Engineer. Stage: Opening. Level: 2. Type: Leadership. Competency: General Engineering. Question: What are your expectations from leadership in a company?. Ideal Answer: I thrive in collaborative, transparent environments where innovation and respect are valued. What are your expectations from leadership in a company?"
Bagaimana tanggapan Anda ketika rekan satu tim tidak berusaha keras?,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Bagaimana tanggapan Anda ketika rekan satu tim tidak berusaha keras?",DevOps Engineer,Conflict Resolution,Easy,Intermediate,Opening,HR_Dataset,Behavioral,General Engineering,1,True,"Role: DevOps Engineer. Stage: Opening. Level: 1. Type: Behavioral. Competency: General Engineering. Question: How do you respond when a teammate isn't pulling their weight?. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you respond when a teammate isn't pulling their weight?"
Apa aspirasi karir jangka panjang Anda?,Tujuan jangka panjang saya adalah untuk tumbuh menjadi senior dimana saya dapat berkontribusi lebih strategis dan membimbing orang lain. Peran ini membawa saya lebih dekat pada hal itu. Apa aspirasi karir jangka panjang Anda?,DevOps Engineer,Career Goals,Easy,Intermediate,Opening,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: DevOps Engineer. Stage: Opening. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: What are your long-term career aspirations?. Ideal Answer: My long-term goal is to grow into a senior role where I can contribute more strategically and mentor others. This role brings me closer to that. What are your long-term career aspirations?
Bagaimana Anda menghadapi masukan yang tidak Anda setujui?,"Saat menghadapi konflik, saya mendekatinya dengan tenang dan mencoba memahami semua sudut pandang sebelum mencari solusi bersama. Bagaimana Anda menghadapi masukan yang tidak Anda setujui?",DevOps Engineer,Conflict Resolution,Easy,Intermediate,Case Study,HR_Dataset,Behavioral,General Engineering,1,False,"Role: DevOps Engineer. Stage: Case Study. Level: 1. Type: Behavioral. Competency: General Engineering. Question: How do you deal with feedback that you disagree with?. Ideal Answer: When faced with conflict, I approach it calmly and try to understand all perspectives before finding a solution together. How do you deal with feedback that you disagree with?"
Apa yang memotivasi Anda untuk datang bekerja setiap hari?,Saya termotivasi oleh tantangan dan peluang untuk berkembang baik secara pribadi maupun profesional. Apa yang memotivasi Anda untuk datang bekerja setiap hari?,DevOps Engineer,Motivation,Easy,Intermediate,Case Study,HR_Dataset,Technical Knowledge,General Engineering,1,False,Role: DevOps Engineer. Stage: Case Study. Level: 1. Type: Technical Knowledge. Competency: General Engineering. Question: What motivates you to come to work every day?. Ideal Answer: I'm motivated by challenges and the opportunity to grow both personally and professionally. What motivates you to come to work every day?
